,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,كتبت,0,35,root,katab-u_1,VERB,VBC,"{'Aspect': 'Perf', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'Voice': 'Act'}",,
1,1,2,كوري,1,27,nsubj,kwry_0,PROPN,NNP,"{'Animacy': 'Hum', 'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing'}",,
2,1,3,شولمان,2,21,flat,$wlmAn_0,PROPN,NNP,"{'Animacy': 'Hum', 'Gender': 'Masc', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
3,1,4,",",5,33,punct,",_0",PUNCT,",",,,
4,1,5,المساعدة,2,5,appos,musAEid_1,NOUN,NN,"{'Animacy': 'Hum', 'Case': 'Nom', 'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing'}",,
5,1,6,الخاصة,5,4,amod,xAS~_1,ADJ,JJ,"{'Case': 'Nom', 'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing'}",,
6,1,7,ل,8,7,case,l,ADP,IN,,,{'SpaceAfter': 'No'}
7,1,8,أوباما,5,26,nmod,AwbAmA_0,PROPN,NNP,"{'Animacy': 'Hum', 'Gender': 'Masc', 'Number': 'Sing'}",,
8,1,9,في,10,7,case,fiy_1,ADP,IN,,,
9,1,10,تدوينة,1,30,obl,tadowiyn_1,NOUN,NN,"{'Animacy': 'Nhum', 'Case': 'Gen', 'Definite': 'Ind', 'Gender': 'Fem', 'Number': 'Sing'}",,
10,1,11,نشرت,10,1,acl:relcl,na$ar-u_1,VERB,VBC,"{'Aspect': 'Perf', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'Voice': 'Act'}",,{'SpaceAfter': 'No'}
11,1,12,ها,11,29,obj,hA,PRON,PRP,"{'Case': 'Acc', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3'}",,
12,1,13,يوم,11,30,obl:tmod,yawom_1,ADV,RB,,,
13,1,14,الإثنين,13,30,obl,{ivonayoni_1,PROPN,NNP,"{'Animacy': 'Nhum', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
14,1,15,:,35,33,punct,:_0,PUNCT,:,,,
15,1,16,"""",35,33,punct,"""_0",PUNCT,``,,,{'SpaceAfter': 'No'}
16,1,17,فيما,24,25,mark,fiymA_1,ADP,IN,,,
17,1,18,الكثير,24,27,nsubj,kaviyr_2,NOUN,NN,"{'Case': 'Gen', 'Definite': 'Def'}",,
18,1,19,من,20,7,case,min_1,ADP,IN,,,
