,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,"""",18,33.0,punct,_,PUNCT,``,,,"{'SpaceAfter': 'No', 'Translit': '""'}"
1,1,2,雖然,8,25.0,mark,_,SCONJ,IN,,,"{'SpaceAfter': 'No', 'Translit': 'suīrán'}"
2,1,3,美國,7,26.0,nmod,_,PROPN,NNP,,,"{'SpaceAfter': 'No', 'Translit': 'měiguó'}"
3,1,4,的,3,7.0,case,_,PART,DEC,{'Case': 'Gen'},,"{'SpaceAfter': 'No', 'Translit': 'de'}"
4,1,5,許多,7,28.0,nummod,_,NUM,CD,{'NumType': 'Card'},,"{'SpaceAfter': 'No', 'Translit': 'xǔduō'}"
5,1,6,數字化,7,11.0,compound,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'shùzìhuà'}"
6,1,7,轉型,8,27.0,nsubj,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'zhuǎnxíng'}"
7,1,8,都是,18,2.0,advcl,_,VERB,VC,,,"{'SpaceAfter': 'No', 'Translit': 'dōushì'}"
8,1,9,史無前例,8,37.0,xcomp,_,VERB,VV,,,"{'SpaceAfter': 'No', 'Translit': 'shǐwúqiánlì'}"
9,1,10,的,8,17.0,discourse:sp,_,PART,UH,,,"{'SpaceAfter': 'No', 'Translit': 'de'}"
10,1,11,，,8,33.0,punct,_,PUNCT,",",,,"{'SpaceAfter': 'No', 'Translit': '，'}"
11,1,12,但,18,3.0,advmod,_,ADV,RB,,,"{'SpaceAfter': 'No', 'Translit': 'dàn'}"
12,1,13,權力,16,26.0,nmod,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'quánlì'}"
13,1,14,的,13,7.0,case,_,PART,DEC,{'Case': 'Gen'},,"{'SpaceAfter': 'No', 'Translit': 'de'}"
14,1,15,和平,16,11.0,compound,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'hépíng'}"
15,1,16,轉移,18,27.0,nsubj,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'zhuǎnyí'}"
16,1,17,卻,18,3.0,advmod,_,ADV,RB,,,"{'SpaceAfter': 'No', 'Translit': 'què'}"
17,1,18,存在,36,15.0,dep,_,VERB,VV,,,"{'SpaceAfter': 'No', 'Translit': 'cúnzài'}"
18,1,19,先例,18,29.0,obj,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'xiānlì'}"
19,1,20,，,18,33.0,punct,_,PUNCT,",",,,"{'SpaceAfter': 'No', 'Translit': '，'}"
20,1,21,”,18,33.0,punct,_,PUNCT,'',,,"{'SpaceAfter': 'No', 'Translit': '”'}"
21,1,22,奧巴馬,25,26.0,nmod,_,PROPN,NNP,,,"{'SpaceAfter': 'No', 'Translit': '奧bamǎ'}"
22,1,23,的,22,7.0,case,_,PART,DEC,{'Case': 'Gen'},,"{'SpaceAfter': 'No', 'Translit': 'de'}"
23,1,24,特別,25,4.0,amod,_,ADJ,JJ,,,"{'SpaceAfter': 'No', 'Translit': 'tèbié'}"
24,1,25,助理,36,27.0,nsubj,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'zhùlǐ'}"
25,1,26,科瑞,25,5.0,appos,_,PROPN,NNP,,,"{'SpaceAfter': 'No', 'Translit': 'kē瑞'}"
26,1,27,·,28,33.0,punct,_,PUNCT,/,,,"{'Proper': 'True', 'SpaceAfter': 'No', 'Translit': '·'}"
27,1,28,舒爾曼,25,21.0,flat:name,_,PROPN,NNP,,,"{'SpaceAfter': 'No', 'Translit': ""shū'ěr曼""}"
28,1,29,在,34,7.0,case,_,ADP,IN,,,"{'SpaceAfter': 'No', 'Translit': 'zài'}"
29,1,30,周,32,30.0,obl:tmod,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'zhōu'}"
30,1,31,一,30,28.0,nummod,_,NUM,CD,{'NumType': 'Card'},,"{'SpaceAfter': 'No', 'Translit': 'yī'}"
31,1,32,發布,34,1.0,acl:relcl,_,VERB,VV,,,"{'SpaceAfter': 'No', 'Translit': 'fābù'}"
32,1,33,的,32,25.0,mark:rel,_,PART,DEC,,,"{'SpaceAfter': 'No', 'Translit': 'de'}"
33,1,34,博客,36,30.0,obl,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'bókè'}"
34,1,35,中,34,7.0,case:loc,_,ADP,IN,,,"{'SpaceAfter': 'No', 'Translit': 'zhōng'}"
35,1,36,寫道,0,35.0,root,_,VERB,VV,,,"{'SpaceAfter': 'No', 'Translit': 'xiědào'}"
36,1,37,。,36,33.0,punct,_,PUNCT,.,,,{'Translit': '。'}
37,2,1,對於,11,7.0,case,_,ADP,IN,,,"{'SpaceAfter': 'No', 'Translit': 'duì於'}"
38,2,2,通過,4,7.0,case,_,ADP,IN,,,"{'SpaceAfter': 'No', 'Translit': 'tōngguò'}"
39,2,3,社交,4,11.0,compound,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'shèjiāo'}"
40,2,4,媒體,6,30.0,obl,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': '媒tǐ'}"
41,2,5,來,6,25.0,mark:prt,_,ADV,RB,,,"{'SpaceAfter': 'No', 'Translit': 'lái'}"
42,2,6,跟踪,11,1.0,acl:relcl,_,VERB,VV,,,"{'SpaceAfter': 'No', 'Translit': 'gēnzōng'}"
43,2,7,國會山,9,11.0,compound,_,PROPN,NNP,,,"{'SpaceAfter': 'No', 'Translit': 'guóhuìshān'}"
44,2,8,任職,9,11.0,compound,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'rènzhí'}"
45,2,9,變遷,6,29.0,obj,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'biànqiān'}"
46,2,10,的,6,25.0,mark:rel,_,PART,DEC,,,"{'SpaceAfter': 'No', 'Translit': 'de'}"
47,2,11,人,13,30.0,obl,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'rén'}"
48,2,12,而,13,3.0,advmod,_,ADV,RB,,,"{'SpaceAfter': 'No', 'Translit': ""'ér""}"
49,2,13,言,21,2.0,advcl,_,VERB,VV,,,"{'SpaceAfter': 'No', 'Translit': 'yán'}"
50,2,14,，,13,33.0,punct,_,PUNCT,",",,,"{'SpaceAfter': 'No', 'Translit': '，'}"
51,2,15,這,16,16.0,det,_,DET,DT,,,"{'SpaceAfter': 'No', 'Translit': 'zhè'}"
52,2,16,次,21,3.0,advmod,_,NOUN,NNB,,,"{'SpaceAfter': 'No', 'Translit': 'cì'}"
53,2,17,與,18,7.0,case,_,ADP,IN,,,"{'SpaceAfter': 'No', 'Translit': 'yǔ'}"
54,2,18,以往,21,30.0,obl,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'yǐwǎng'}"
55,2,19,有,21,13.0,cop,_,AUX,VV,,,"{'SpaceAfter': 'No', 'Translit': 'yǒu'}"
56,2,20,所,21,25.0,mark:prt,_,ADV,RB,,,"{'SpaceAfter': 'No', 'Translit': 'suǒ'}"
57,2,21,不同,0,35.0,root,_,ADJ,JJ,,,"{'SpaceAfter': 'No', 'Translit': 'bùtóng'}"
58,2,22,。,21,33.0,punct,_,PUNCT,.,,,{'Translit': '。'}
59,3,1,但是,25,3.0,advmod,_,ADV,RB,,,"{'SpaceAfter': 'No', 'Translit': 'dànshì'}"
60,3,2,，,1,33.0,punct,_,PUNCT,",",,,"{'SpaceAfter': 'No', 'Translit': '，'}"
61,3,3,他,18,27.0,nsubj,_,PRON,PRP,{'Person': '3'},,"{'SpaceAfter': 'No', 'Translit': 'tā'}"
62,3,4,在,16,7.0,case,_,ADP,IN,,,"{'SpaceAfter': 'No', 'Translit': 'zài'}"
63,3,5,過去,16,26.0,nmod,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'guòqù'}"
64,3,6,的,5,7.0,case,_,PART,DEC,{'Case': 'Gen'},,"{'SpaceAfter': 'No', 'Translit': 'de'}"
65,3,7,一,8,28.0,nummod,_,NUM,CD,{'NumType': 'Card'},,"{'SpaceAfter': 'No', 'Translit': 'yī'}"
66,3,8,次,16,10.0,clf,_,NOUN,NNB,,,"{'SpaceAfter': 'No', 'Translit': 'cì'}"
67,3,9,進行,16,1.0,acl:relcl,_,VERB,VV,,,"{'SpaceAfter': 'No', 'Translit': 'jìnxíng'}"
68,3,10,移民,13,11.0,compound,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'yímín'}"
69,3,11,削減,13,11.0,compound,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'xuējiǎn'}"
70,3,12,相關,13,4.0,amod,_,ADJ,JJ,,,"{'SpaceAfter': 'No', 'Translit': 'xiāngguān'}"
71,3,13,演說,9,29.0,obj,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'yǎnshuō'}"
72,3,14,的,9,25.0,mark:rel,_,PART,DEC,,,"{'SpaceAfter': 'No', 'Translit': 'de'}"
73,3,15,休息,16,11.0,compound,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': 'xiūxi'}"
