,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,„,12.0,33.0,punct,"""",PUNCT,Z:-------------,,"[['punct', 12]]",{'SpaceAfter': 'No'}
1,1,2,V,4.0,7.0,case,v,ADP,RR--6----------,"{'AdpType': 'Prep', 'Case': 'Loc'}","[['case', 4]]",{'LId': 'v-1'}
2,1,3,tomto,4.0,16.0,det,tento,DET,PDZS6----------,"{'Case': 'Loc', 'Gender': 'Masc,Neut', 'Number': 'Sing', 'PronType': 'Dem'}","[['det', 4]]",
3,1,4,procesu,12.0,30.0,obl,proces,NOUN,NNIS6-----A----,"{'Animacy': 'Inan', 'Case': 'Loc', 'Gender': 'Masc', 'Number': 'Sing', 'Polarity': 'Pos'}","[['obl:v:loc', 12]]",
4,1,5,předávání,4.0,26.0,nmod,předávání,NOUN,NNNS2-----A----,"{'Case': 'Gen', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 4]]","{'LId': 'předávání-3', 'LGloss': '(někomu_něco)', 'LDeriv': 'předat-3'}"
5,1,6,moci,5.0,26.0,nmod,moc,NOUN,NNFS2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 5]]","{'LId': 'moc-1', 'LGloss': '(nad_někým;_politická,_vojenská;_plná,...)'}"
6,1,7,se,12.0,19.0,expl:pv,se,PRON,P7-X4----------,"{'Case': 'Acc', 'PronType': 'Prs', 'Reflex': 'Yes', 'Variant': 'Short'}","[['expl:pv', 12]]",{'LGloss': '(zvr._zájmeno/částice)'}
7,1,8,ve,10.0,7.0,case,v,ADP,RV--6----------,"{'AdpType': 'Voc', 'Case': 'Loc'}","[['case', 10]]",{'LId': 'v-1'}
8,1,9,Spojených,10.0,4.0,amod,spojený,ADJ,AAIP6----1A----,"{'Animacy': 'Inan', 'Case': 'Loc', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos', 'VerbForm': 'Part', 'Voice': 'Pass'}","[['amod', 10]]",{'LDeriv': 'spojit'}
9,1,10,Státech,12.0,30.0,obl,stát,NOUN,NNIP6-----A----,"{'Animacy': 'Inan', 'Case': 'Loc', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['obl:v:loc', 12]]","{'LId': 'stát-1', 'LGloss': '(státní_útvar)'}"
10,1,11,mnoho,12.0,27.0,nsubj,mnoho,DET,Ca--1----------,"{'Case': 'Nom', 'NumType': 'Card', 'PronType': 'Ind'}","[['nsubj', 12]]",{'LId': 'mnoho-1'}
11,1,12,děje,30.0,9.0,ccomp,dít,VERB,VB-S---3P-AA---,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['ccomp', 30]]","{'LId': 'dít-1', 'LGloss': '(dít_se)'}"
12,1,13,poprvé,12.0,3.0,advmod,poprvé,ADV,Cv-------------,{'NumType': 'Ord'},"[['advmod', 12]]",{'SpaceAfter': 'No'}
13,1,14,",",17.0,33.0,punct,",",PUNCT,Z:-------------,,"[['punct', 17]]",
14,1,15,což,17.0,27.0,nsubj,což,PRON,PE--1----------,"{'Case': 'Nom', 'PronType': 'Rel'}","[['nsubj', 17]]",{'LId': 'což-1'}
15,1,16,se,17.0,19.0,expl:pv,se,PRON,P7-X4----------,"{'Case': 'Acc', 'PronType': 'Prs', 'Reflex': 'Yes', 'Variant': 'Short'}","[['expl:pv', 17]]",{'LGloss': '(zvr._zájmeno/částice)'}
16,1,17,týká,12.0,2.0,advcl,týkat,VERB,VB-S---3P-AA---,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['advcl', 12]]",
17,1,18,především,20.0,3.0,advmod:emph,především,ADV,Db-------------,,"[['advmod:emph', 20]]",{'LId': 'především-1'}
18,1,19,digitálních,20.0,4.0,amod,digitální,ADJ,AAIP2----1A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['amod', 20]]",
19,1,20,prostředků,17.0,30.0,obl:arg,prostředek,NOUN,NNIP2-----A----,"{'Animacy': 'Inan', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Plur', 'Polarity': 'Pos'}","[['obl:arg:gen', 17]]","{'SpaceAfter': 'No', 'LId': 'prostředek-2', 'LGloss': '(způsob,_nástroj)'}"
20,1,21,",",27.0,33.0,punct,",",PUNCT,Z:-------------,,"[['punct', 27]]",
21,1,22,ovšem,27.0,8.0,cc,ovšem,CCONJ,TT-------------,,"[['cc', 27]]",
22,1,23,poklidnost,27.0,27.0,nsubj,poklidnost,NOUN,NNFS1-----A----,"{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nsubj', 27]]",{'LDeriv': 'poklidný'}
23,1,24,předávání,23.0,26.0,nmod,předávání,NOUN,NNNS2-----A----,"{'Case': 'Gen', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 23]]","{'LId': 'předávání-3', 'LGloss': '(někomu_něco)', 'LDeriv': 'předat-3'}"
24,1,25,moci,24.0,26.0,nmod,moc,NOUN,NNFS2-----A----,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nmod:gen', 24]]","{'LId': 'moc-1', 'LGloss': '(nad_někým;_politická,_vojenská;_plná,...)'}"
25,1,26,je,27.0,13.0,cop,být,AUX,VB-S---3P-AA---,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Polarity': 'Pos', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['cop', 27]]",
26,1,27,tradiční,12.0,12.0,conj,tradiční,ADJ,AAFS1----1A----,"{'Case': 'Nom', 'Degree': 'Pos', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['conj', 12], ['ccomp', 30]]",{'SpaceAfter': 'No'}
27,1,28,",",12.0,33.0,punct,",",PUNCT,Z:-------------,,"[['punct', 12]]",{'SpaceAfter': 'No'}
28,1,29,“,12.0,33.0,punct,"""",PUNCT,Z:-------------,,"[['punct', 12]]",
29,1,30,napsala,0.0,35.0,root,napsat,VERB,VpQW---XR-AA---,"{'Gender': 'Fem,Neut', 'Number': 'Plur,Sing', 'Polarity': 'Pos', 'Tense': 'Past', 'VerbForm': 'Part', 'Voice': 'Act'}","[['root', 0]]",
30,1,31,Obamova,33.0,4.0,amod,Obamův,ADJ,AUFS1M---------,"{'Case': 'Nom', 'Gender': 'Fem', 'Gender[psor]': 'Masc', 'NameType': 'Sur', 'Number': 'Sing', 'Poss': 'Yes'}","[['amod', 33]]",{'LDeriv': 'Obama'}
31,1,32,zvláštní,33.0,4.0,amod,zvláštní,ADJ,AAFS1----1A----,"{'Case': 'Nom', 'Degree': 'Pos', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['amod', 33]]",
32,1,33,asistentka,30.0,27.0,nsubj,asistentka,NOUN,NNFS1-----A----,"{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Polarity': 'Pos'}","[['nsubj', 30]]",{'LDeriv': 'asistent'}
33,1,34,Kori,33.0,26.0,nmod,Kori,PROPN,NNXXX-----A----,"{'NameType': 'Giv', 'Polarity': 'Pos'}","[['nmod', 33]]",
