,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,”,16.0,33.0,punct,”,PUNCT,,,"[['punct', 16]]",{'SpaceAfter': 'No'}
1,1,2,Vaikka,10.0,25.0,mark,vaikka,SCONJ,,,"[['mark', 10]]",
2,1,3,Yhdysvaltojen,4.0,26.0,nmod:gsubj,Yhdysvallat,PROPN,,"{'Case': 'Gen', 'Number': 'Plur'}","[['nmod:gsubj', 4]]",
3,1,4,siirtyminen,10.0,27.0,nsubj:cop,siirtyminen,NOUN,,"{'Case': 'Nom', 'Derivation': 'Minen', 'Number': 'Sing'}","[['nsubj:cop', 10]]",
4,1,5,digitaaliseen,6.0,4.0,amod,digitaalinen,ADJ,,"{'Case': 'Ill', 'Degree': 'Pos', 'Derivation': 'Inen', 'Number': 'Sing'}","[['amod', 6]]",
5,1,6,aikaan,4.0,26.0,nmod,aika,NOUN,,"{'Case': 'Ill', 'Number': 'Sing'}","[['nmod', 4]]",
6,1,7,onkin,10.0,13.0,cop,olla,AUX,,"{'Clitic': 'Kin', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['cop', 10]]",
7,1,8,suurelta,9.0,4.0,amod,suuri,ADJ,,"{'Case': 'Abl', 'Degree': 'Pos', 'Number': 'Sing'}","[['amod', 9]]",
8,1,9,osin,10.0,30.0,obl,osa,NOUN,,"{'Case': 'Ins', 'Number': 'Plur'}","[['obl', 10]]",
9,1,10,ennenkuulumatonta,16.0,2.0,advcl,ennenkuulumaton,ADJ,,"{'Case': 'Par', 'Degree': 'Pos', 'Derivation': 'Ton', 'Number': 'Sing'}","[['advcl', 16]]",{'SpaceAfter': 'No'}
10,1,11,",",10.0,33.0,punct,",",PUNCT,,,"[['punct', 10]]",
11,1,12,rauhallinen,13.0,4.0,amod,rauhallinen,ADJ,,"{'Case': 'Nom', 'Degree': 'Pos', 'Derivation': 'Llinen', 'Number': 'Sing'}","[['amod', 13]]",
12,1,13,vallanvaihto,16.0,27.0,nsubj:cop,vallan#vaihto,NOUN,,"{'Case': 'Nom', 'Number': 'Sing'}","[['nsubj:cop', 16]]",
13,1,14,ei,16.0,6.0,aux,ei,AUX,,"{'Number': 'Sing', 'Person': '3', 'Polarity': 'Neg', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['aux', 16]]",
14,1,15,ole,16.0,13.0,cop,olla,AUX,,"{'Connegative': 'Yes', 'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Fin'}","[['cop', 16]]",
15,1,16,sitä,0.0,35.0,root,se,PRON,,"{'Case': 'Par', 'Number': 'Sing', 'PronType': 'Dem'}","[['root', 0]]",{'SpaceAfter': 'No'}
16,1,17,”,16.0,33.0,punct,”,PUNCT,,,"[['punct', 16]]",{'SpaceAfter': 'No'}
17,1,18,",",23.0,33.0,punct,",",PUNCT,,,"[['punct', 23]]",
18,1,19,Obaman,20.0,26.0,nmod:poss,Obama,PROPN,,"{'Case': 'Gen', 'Number': 'Sing'}","[['nmod:poss', 20]]",
19,1,20,erityisavustaja,21.0,11.0,compound:nn,erityis#avustaja,NOUN,,"{'Case': 'Nom', 'Derivation': 'Ja', 'Number': 'Sing'}","[['compound:nn', 21]]",
20,1,21,Kori,23.0,27.0,nsubj,Kori,PROPN,,"{'Case': 'Nom', 'Number': 'Sing'}","[['nsubj', 23]]",
21,1,22,Schulman,21.0,21.0,flat:name,Schulman,PROPN,,"{'Case': 'Nom', 'Number': 'Sing'}","[['flat:name', 21]]",
22,1,23,kirjoitti,16.0,32.0,parataxis,kirjoittaa,VERB,,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['parataxis', 16]]",
23,1,24,blogijulkaisussaan,23.0,30.0,obl,blogi#julkaisu,NOUN,,"{'Case': 'Ine', 'Derivation': 'U', 'Number': 'Sing', 'Person[psor]': '3'}","[['obl', 23]]",
24,1,25,maanantaina,23.0,30.0,obl,maanantai,NOUN,,"{'Case': 'Ess', 'Number': 'Sing'}","[['obl', 23]]",{'SpaceAfter': 'No'}
25,1,26,.,16.0,33.0,punct,.,PUNCT,,,"[['punct', 16]]",
26,2,1,Niille,12.0,30.0,obl,se,PRON,,"{'Case': 'All', 'Number': 'Plur', 'PronType': 'Dem'}","[['obl', 12]]",{'SpaceAfter': 'No'}
27,2,2,",",4.0,33.0,punct,",",PUNCT,,,"[['punct', 4]]",
28,2,3,jotka,4.0,27.0,nsubj,joka,PRON,,"{'Case': 'Nom', 'Number': 'Plur', 'PronType': 'Rel'}","[['nsubj', 4]]",
29,2,4,seuraavat,1.0,1.0,acl:relcl,seurata,VERB,,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['acl:relcl', 1]]",
30,2,5,sosiaalisen,6.0,4.0,amod,sosiaalinen,ADJ,,"{'Case': 'Gen', 'Degree': 'Pos', 'Derivation': 'Inen', 'Number': 'Sing'}","[['amod', 6]]",
31,2,6,median,7.0,26.0,nmod:poss,media,NOUN,,"{'Case': 'Gen', 'Number': 'Sing'}","[['nmod:poss', 7]]",
32,2,7,siirtymiä,4.0,29.0,obj,siirtymä,NOUN,,"{'Case': 'Par', 'Number': 'Plur'}","[['obj', 4]]",
33,2,8,Yhdysvaltain,9.0,26.0,nmod:poss,Yhdysvallat,PROPN,,"{'Case': 'Gen', 'Number': 'Plur'}","[['nmod:poss', 9]]",
34,2,9,kongressissa,7.0,26.0,nmod,kongressi,NOUN,,"{'Case': 'Ine', 'Number': 'Sing'}","[['nmod', 7]]",{'SpaceAfter': 'No'}
35,2,10,",",4.0,33.0,punct,",",PUNCT,,,"[['punct', 4]]",
36,2,11,tämä,12.0,27.0,nsubj,tämä,PRON,,"{'Case': 'Nom', 'Number': 'Sing', 'PronType': 'Dem'}","[['nsubj', 12]]",
37,2,12,näyttää,0.0,35.0,root,näyttää,VERB,,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['root', 0]]",
38,2,13,hieman,14.0,3.0,advmod,hieman,ADV,,,"[['advmod', 14]]",
