,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,«,29.0,33.0,punct,«,PUNCT,``,,,
1,1,2,Alors,12.0,25.0,mark,alors,ADV,RB,,,{'wordform': 'alors'}
2,1,3,que,2.0,20.0,fixed,que,SCONJ,IN,,,
3,1,4,la,7.0,16.0,det,le,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
4,1,5,plus,6.0,3.0,advmod,plus,ADV,RBR,,,
5,1,6,grande,7.0,4.0,amod,grand,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
6,1,7,partie,12.0,27.0,nsubj,partie,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
7,1,8,de,10.0,7.0,case,de,ADP,IN,,,
8,1,9,la,10.0,16.0,det,le,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
9,1,10,transition,7.0,26.0,nmod,transition,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
10,1,11,numérique,10.0,4.0,amod,numérique,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
11,1,12,est,29.0,2.0,advcl,être,VERB,VBC,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin'}",,
12,1,13,sans,14.0,7.0,case,sans,ADP,IN,,,
13,1,14,précédent,12.0,30.0,obl,précédent,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Sing'}",,
15,1,15,à,17.0,7.0,case,à,ADP,INDT,,,
16,1,16,les,17.0,16.0,det,le,DET,,"{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'}",,
17,1,17,États-Unis,12.0,30.0,obl,États-Unis,PROPN,NN,"{'Gender': 'Masc', 'Number': 'Plur'}",,"{'Proper': 'True', 'SpaceAfter': 'No'}"
18,1,18,",",12.0,33.0,punct,",",PUNCT,",",,,
19,1,19,la,20.0,16.0,det,le,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
20,1,20,transition,29.0,18.0,dislocated,transition,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
21,1,21,sereine,20.0,4.0,amod,serein,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
23,1,22,de,24.0,7.0,case,de,ADP,INDT,,,
