,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,„,12.0,33.0,punct,„,PUNCT,``,,,{'SpaceAfter': 'No'}
1,1,2,Ein,3.0,16.0,det,ein,DET,DT,"{'Case': 'Nom', 'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,
2,1,3,Großteil,12.0,27.0,nsubj,Großteil,NOUN,NN,"{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,
3,1,4,des,6.0,16.0,det,der,DET,DT,"{'Case': 'Gen', 'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,
4,1,5,digitalen,6.0,4.0,amod,digital,ADJ,JJ,"{'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,{'InflectionType': 'Weak'}
5,1,6,Übergangs,3.0,26.0,nmod,Übergang,NOUN,NN,"{'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,
6,1,7,ist,12.0,13.0,cop,sein,AUX,VBC,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,
7,1,8,für,11.0,7.0,case,für,ADP,IN,,,
8,1,9,die,11.0,16.0,det,der,DET,DT,"{'Case': 'Acc', 'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'Person': '3'}",,
9,1,10,Vereinigten,11.0,4.0,amod,vereinigt,ADJ,JJ,"{'Case': 'Acc', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Plur', 'Person': '3'}",,"{'InflectionType': 'Weak', 'Proper': 'True'}"
10,1,11,Staaten,12.0,30.0,obl,Staat,NOUN,NN,"{'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Plur', 'Person': '3'}",,{'Proper': 'True'}
11,1,12,neu,21.0,9.0,ccomp,neu,ADJ,JJ,{'Degree': 'Pos'},,{'SpaceAfter': 'No'}
12,1,13,",",16.0,33.0,punct,",",PUNCT,",",,,
13,1,14,ein,16.0,16.0,det,ein,DET,DT,"{'Case': 'Nom', 'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,
14,1,15,friedlicher,16.0,4.0,amod,friedlich,ADJ,JJ,"{'Case': 'Nom', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,{'InflectionType': 'Mixed'}
15,1,16,Machtwechsel,12.0,12.0,conj,Machtwechsel,NOUN,NN,"{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,{'orig_deprel': 'nsubj'}
16,1,17,hingegen,12.0,3.0,advmod,hingegen,ADV,RB,{'Degree': 'Pos'},,
17,1,18,nicht,12.0,3.0,advmod,nicht,ADV,RB,"{'Degree': 'Pos', 'Polarity': 'Neg'}",,{'SpaceAfter': 'No'}
18,1,19,“,12.0,33.0,punct,“,PUNCT,'',,,{'SpaceAfter': 'No'}
19,1,20,",",12.0,33.0,punct,",",PUNCT,",",,,
20,1,21,schrieb,0.0,35.0,root,schreiben,VERB,VBC,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past'}",,
21,1,22,Obamas,23.0,26.0,nmod:poss,Obama,PROPN,NNP,"{'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,
22,1,23,Sonderberaterin,21.0,27.0,nsubj,Sonderberaterin,NOUN,NN,"{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3'}",,
23,1,24,Kori,23.0,5.0,appos,Kori,PROPN,NNP,"{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3'}",,
24,1,25,Schulman,24.0,21.0,flat:name,Schulman,PROPN,NNP,"{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3'}",,
26,1,26,an,28.0,7.0,case,an,ADP,APPR,,,
