,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,“,16,33,punct,_,PUNCT,``,,,"{'SpaceAfter': 'No', 'Translit': '“'}"
1,1,2,संयुक्त,4,4,amod,_,ADJ,JJ,,,"{'Proper': 'True', 'Translit': 'saṁyukta'}"
2,1,3,राज्य,4,11,compound,_,NOUN,NN,"{'Animacy': 'Inan', 'Gender': 'Masc', 'Number': 'Sing'}",,"{'Proper': 'True', 'Translit': 'rājya'}"
3,1,4,अमेरिका,16,30,obl,_,PROPN,NNP,"{'Animacy': 'Inan', 'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing'}",,{'Translit': 'amerikā'}
4,1,5,में,4,7,case,_,ADP,IN,{'Case': 'Loc'},,{'Translit': 'meṁ'}
5,1,6,ज्यादातर,8,16,det,_,DET,QF,,,{'Translit': 'jyādātara'}
6,1,7,डिजिटल,8,4,amod,_,ADJ,JJ,,,{'Translit': 'ḍijiṭala'}
7,1,8,संक्रमण,16,29,obj,_,NOUN,NN,"{'Animacy': 'Inan', 'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing'}",,{'Translit': 'saṁkramaṇa'}
8,1,9,(,10,33,punct,_,PUNCT,(,,,"{'SpaceAfter': 'No', 'Translit': '('}"
9,1,10,ट्रांजिशन,8,5,appos,_,NOUN,NN,"{'Animacy': 'Inan', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing'}",,"{'SpaceAfter': 'No', 'Translit': 'ṭrāṁjiśana'}"
10,1,11,),10,33,punct,_,PUNCT,),,,{'Translit': ')'}
11,1,12,जितने,16,25,mark,_,ADP,IN,,,{'Translit': 'jitane'}
12,1,13,अभूतपूर्व,14,4,amod,_,ADJ,JJ,,,{'Translit': 'abhūtapūrva'}
13,1,14,ढंग,16,30,obl,_,NOUN,NN,"{'Animacy': 'Inan', 'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing'}",,{'Translit': 'ḍhaṁga'}
14,1,15,से,14,7,case,_,ADP,IN,{'Case': 'Acc'},,{'Translit': 'se'}
15,1,16,हुआ,0,35,root,_,VERB,VBI,"{'Aspect': 'Perf', 'Gender': 'Masc', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3'}",,{'Translit': 'huā'}
