,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,„,8.0,33.0,punct,„,PUNCT,„,{'PunctSide': 'Ini'},,{'SpaceAfter': 'No'}
1,1,2,Þótt,8.0,25.0,mark,þótt,SCONJ,c,,,
2,1,3,mikið,8.0,27.0,nsubj,mikill,ADJ,lhensf,"{'Case': 'Nom', 'Definite': 'Ind', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Sing'}",,
3,1,4,af,6.0,7.0,case,af,ADP,aþ,,,
4,1,5,stafrænu,6.0,4.0,amod,stafrænn,ADJ,lvfþvf,"{'Case': 'Dat', 'Definite': 'Def', 'Degree': 'Pos', 'Gender': 'Fem', 'Number': 'Plur'}",,
5,1,6,umskiptunum,3.0,26.0,nmod,umskipt,NOUN,nvfþg,"{'Case': 'Dat', 'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur'}",,
6,1,7,séu,8.0,13.0,cop,vera,AUX,svg3fn,"{'Mood': 'Sub', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",,
7,1,8,fordæmalaus,14.0,2.0,advcl,fordæmalaus,NOUN,nhfn,"{'Case': 'Nom', 'Definite': 'Ind', 'Gender': 'Neut', 'Number': 'Plur'}",,
8,1,9,í,10.0,7.0,case,í,ADP,aþ,,,
9,1,10,Bandaríkjunum,8.0,30.0,obl,Bandaríki,NOUN,nhfþgs,"{'Case': 'Dat', 'Definite': 'Def', 'Gender': 'Neut', 'Number': 'Plur'}",,
10,1,11,eru,14.0,13.0,cop,vera,AUX,sfg3fn,"{'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",,
11,1,12,friðsamleg,13.0,4.0,amod,friðsamlegur,ADJ,lhfnsf,"{'Case': 'Nom', 'Definite': 'Ind', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Plur'}",,
12,1,13,valdaskipti,14.0,27.0,nsubj,valdaskipti,NOUN,nhfn,"{'Case': 'Nom', 'Definite': 'Ind', 'Gender': 'Neut', 'Number': 'Plur'}",,
13,1,14,það,0.0,35.0,root,það,PRON,fphen,"{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'PronType': 'Prs'}",,
14,1,15,ekki,14.0,3.0,advmod,ekki,ADV,aa,,,{'SpaceAfter': 'No'}
15,1,16,“,14.0,33.0,punct,“,PUNCT,“,{'PunctSide': 'Fin'},,
16,1,17,skrifaði,14.0,32.0,parataxis,skrifa,VERB,sfg3eþ,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",,
17,1,18,Kori,17.0,27.0,nsubj,Kori,PROPN,e,,,
18,1,19,Schulman,18.0,21.0,flat:name,Schulman,PROPN,e,,,{'SpaceAfter': 'No'}
19,1,20,",",22.0,33.0,punct,",",PUNCT,",",,,
20,1,21,sérstakur,22.0,4.0,amod,sérstakur,ADJ,lkensf,"{'Case': 'Nom', 'Definite': 'Ind', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Sing'}",,
21,1,22,aðstoðarmaður,18.0,5.0,appos,aðstoðarmaður,NOUN,nken,"{'Case': 'Nom', 'Definite': 'Ind', 'Gender': 'Masc', 'Number': 'Sing'}",,
22,1,23,Obama,22.0,26.0,nmod:poss,Obami,PROPN,nkee-s,"{'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
