,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,“,22.0,33.0,punct,“,PUNCT,,,,{'SpaceAfter': 'No'}
1,1,2,Meski,13.0,25.0,mark,meski,SCONJ,,,,
2,1,3,kebanyakan,4.0,16.0,det,banyak,DET,,{'PronType': 'Ind'},,
3,1,4,transisi,13.0,27.0,nsubj:pass,transisi,NOUN,,{'Number': 'Sing'},,
4,1,5,digital,4.0,4.0,amod,digital,ADJ,,,,
5,1,6,yang,7.0,27.0,nsubj:pass,yang,PRON,,{'PronType': 'Rel'},,
6,1,7,terjadi,4.0,1.0,acl:relcl,jadi,VERB,,"{'Mood': 'Ind', 'Voice': 'Pass'}",,
7,1,8,di,9.0,7.0,case,di,ADP,,,,
8,1,9,Amerika,7.0,30.0,obl,Amerika,PROPN,,,,
9,1,10,Serikat,9.0,21.0,flat:name,Serikat,PROPN,,,,
10,1,11,belum,13.0,3.0,advmod,belum,PART,,{'Polarity': 'Neg'},,
11,1,12,pernah,13.0,3.0,advmod,pernah,ADV,,,,
12,1,13,terjadi,22.0,2.0,advcl,jadi,VERB,,"{'Mood': 'Ind', 'Voice': 'Pass'}",,
13,1,14,sebelumnya,13.0,3.0,advmod,belum,ADV,,,,{'SpaceAfter': 'No'}
14,1,15,",",13.0,33.0,punct,",",PUNCT,,,,
15,1,16,transisi,22.0,27.0,nsubj,transisi,NOUN,,{'Number': 'Sing'},,
16,1,17,kekuasaan,16.0,26.0,nmod,kuasa,NOUN,,{'Number': 'Sing'},,
17,1,18,yang,19.0,27.0,nsubj,yang,PRON,,{'PronType': 'Rel'},,
18,1,19,damai,16.0,1.0,acl:relcl,damai,ADJ,,,,
20,1,20,tidak,22.0,3.0,advmod,tidak,PART,,{'Polarity': 'Neg'},,
21,1,21,lah,20.0,3.0,advmod:emph,lah,PART,,,,
22,1,22,begitu,0.0,35.0,root,begitu,PRON,,{'PronType': 'Dem'},,{'SpaceAfter': 'No'}
23,1,23,",",22.0,33.0,punct,",",PUNCT,,,,{'SpaceAfter': 'No'}
24,1,24,”,22.0,33.0,punct,”,PUNCT,,,,
25,1,25,tulis,22.0,32.0,parataxis,tulis,VERB,,"{'Mood': 'Ind', 'Voice': 'Act'}",,
26,1,26,asisten,25.0,27.0,nsubj,asisten,NOUN,,{'Number': 'Sing'},,
27,1,27,khusus,26.0,4.0,amod,khusus,ADJ,,,,
28,1,28,Obama,26.0,26.0,nmod:poss,Obama,PROPN,,,,{'SpaceAfter': 'No'}
29,1,29,",",25.0,33.0,punct,",",PUNCT,,,,
30,1,30,Kori,25.0,5.0,appos,Kori,PROPN,,,,
31,1,31,Schulman,30.0,21.0,flat:name,Schulman,PROPN,,,,
32,1,32,di,34.0,7.0,case,di,ADP,,,,
33,1,33,sebuah,34.0,16.0,det,buah,DET,,"{'Definite': 'Ind', 'PronType': 'Art'}",,
34,1,34,postingan,25.0,30.0,obl,pos,NOUN,,{'Number': 'Sing'},,
