,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,Kori,6,11,compound,_,PROPN,NNP,,,"{'Translit': 'Kori', 'LTranslit': None}"
1,1,2,Schulman,1,21,flat:name,_,PROPN,NNP,,,"{'Translit': 'Schulman', 'LTranslit': None}"
2,1,3,오바마,4,11,compound,_,PROPN,NNP,,,"{'Translit': '.o.ba.ma', 'LTranslit': None}"
3,1,4,대통령,6,11,compound,_,NOUN,NN,,,"{'Translit': '.dae.tong.ryeong', 'LTranslit': None}"
4,1,5,특별,6,11,compound,_,NOUN,NN,,,"{'Translit': '.teug.byeol', 'LTranslit': None}"
5,1,6,보좌관은,27,27,nsubj,보좌관,NOUN,NN+CM,"{'Case': 'Nom', 'Polite': 'Form'}",,"{'MSeg': '보좌관-은', 'Translit': '.bo.jwa.gwan.eun', 'LTranslit': '.bo.jwa.gwan'}"
6,1,7,월요일,27,30,obl:tmod,_,NOUN,NN,,,"{'Translit': '.weol.yo.il', 'LTranslit': None}"
7,1,8,"""",22,33,punct,"""",PUNCT,``,,,"{'SpaceAfter': 'No', 'Translit': '""', 'LTranslit': None}"
8,1,9,미국에서,16,3,advmod,미국,PROPN,NNP+CM,{'Polite': 'Form'},,"{'MSeg': '미국-에서', 'Translit': '.mi.gug.e.seo', 'LTranslit': '.mi.gug'}"
9,1,10,디지털,11,11,compound,_,NOUN,NN,,,"{'Translit': '.di.ji.teol', 'LTranslit': None}"
10,1,11,전환의,12,26,nmod:poss,전환,NOUN,NN+CM,"{'Case': 'Gen', 'Polite': 'Form'}",,"{'MSeg': '전환-의', 'Translit': '.jeon.hwan.yi', 'LTranslit': '.jeon.hwan'}"
11,1,12,대부분은,16,27,nsubj,대부분,NOUN,NN+CM,"{'Case': 'Nom', 'Polite': 'Form'}",,"{'MSeg': '대부분-은', 'Translit': '.dae.bu.bun.eun', 'LTranslit': '.dae.bu.bun'}"
12,1,13,유례를,14,29,obj,유례,NOUN,NN+CM,"{'Case': 'Acc', 'Polite': 'Form'}",,"{'MSeg': '유례-를', 'Translit': '.yu.rye.reul', 'LTranslit': '.yu.rye'}"
13,1,14,찾아보기,15,14,csubj,_,VERB,VV,{'VerbForm': 'Ger'},,"{'Translit': '.chaj.a.bo.gi', 'LTranslit': None}"
14,1,15,힘든,16,1,acl:relcl,_,ADJ,JJ,{'Form': 'Adn'},,"{'Translit': '.him.deun', 'LTranslit': None}"
15,1,16,수준,22,2,advcl,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': '.su.jun', 'LTranslit': None}"
16,1,17,이지만,16,13,cop,_,AUX,VC,{'Form': 'Compl'},,"{'Translit': '.i.ji.man', 'LTranslit': None}"
17,1,18,평화로운,20,4,amod,_,NOUN,NN,,,"{'SpaceAfter': 'No', 'Translit': '.pyeong.hwa.ro.un', 'LTranslit': None}"
18,1,19,권력,20,11,compound,_,NOUN,NN,,,"{'Translit': '.gweon.ryeog', 'LTranslit': None}"
19,1,20,이양은,22,27,nsubj,이양,NOUN,NN+CM,"{'Case': 'Nom', 'Polite': 'Form'}",,"{'MSeg': '이양-은', 'Translit': '.i.yang.eun', 'LTranslit': '.i.yang'}"
20,1,21,그렇지,22,6,aux,_,ADJ,JJ,{'Form': 'Aux'},,"{'Translit': '.geu.reoh.ji', 'LTranslit': None}"
21,1,22,않다,24,2,advcl,_,ADJ,JX,"{'Mood': 'Ind', 'VerbForm': 'Fin'}",,"{'SpaceAfter': 'No', 'Translit': '.anh.da', 'LTranslit': None}"
22,1,23,"""",22,33,punct,"""",PUNCT,'',,,"{'SpaceAfter': 'No', 'Translit': '""', 'LTranslit': None}"
