,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,„,22.0,33.0,punct,„,PUNCT,interp,"{'PunctSide': 'Ini', 'PunctType': 'Quot'}","[['punct', 22]]",{'SpaceAfter': 'No'}
1,1,2,W,5.0,7.0,case,w,ADP,prep:loc:nwok,"{'AdpType': 'Prep', 'Variant': 'Short'}","[['case', 5]]",{'Case': 'Loc'}
2,1,3,przeciwieństwie,2.0,20.0,fixed,przeciwieństwo,NOUN,subst:sg:loc:n:ncol,"{'Case': 'Loc', 'Gender': 'Neut', 'Number': 'Sing'}","[['fixed', 2]]",
3,1,4,do,2.0,20.0,fixed,do,ADP,prep:gen,{'AdpType': 'Prep'},"[['fixed', 2]]",{'Case': 'Gen'}
4,1,5,przejęcia,18.0,26.0,nmod,przejąć,NOUN,ger:sg:gen:n:perf:aff,"{'Aspect': 'Perf', 'Case': 'Gen', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos', 'VerbForm': 'Vnoun'}","[['nmod', 18]]",
5,1,6,sfery,5.0,29.0,obj,sfera,NOUN,subst:sg:gen:f,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing'}","[['obj', 5]]",
6,1,7,cyfrowej,6.0,4.0,amod,cyfrowy,ADJ,adj:sg:gen:f:pos,"{'Case': 'Gen', 'Degree': 'Pos', 'Gender': 'Fem', 'Number': 'Sing'}","[['amod', 6]]",{'SpaceAfter': 'No'}
7,1,8,",",5.0,33.0,punct,",",PUNCT,interp,{'PunctType': 'Comm'},"[['punct', 5]]",
8,1,9,pokojowe,10.0,4.0,amod,pokojowy,ADJ,adj:sg:nom:n:pos,"{'Case': 'Nom', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Sing'}","[['amod', 10]]",
9,1,10,przejęcie,18.0,27.0,nsubj,przejąć,NOUN,ger:sg:nom:n:perf:aff,"{'Aspect': 'Perf', 'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'Polarity': 'Pos', 'VerbForm': 'Vnoun'}","[['nsubj', 18]]",
10,1,11,władzy,10.0,29.0,obj,władza,NOUN,subst:sg:gen:f,"{'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing'}","[['obj', 10]]",
11,1,12,nie,13.0,3.0,advmod:neg,nie,PART,part,{'Polarity': 'Neg'},"[['advmod:neg', 13]]",
12,1,13,jest,18.0,13.0,cop,być,AUX,fin:sg:ter:imperf,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['cop', 18]]",
13,1,14,w,15.0,7.0,case,w,ADP,prep:loc:nwok,"{'AdpType': 'Prep', 'Variant': 'Short'}","[['case', 15]]",{'Case': 'Loc'}
14,1,15,Stanach,18.0,26.0,nmod,Stany,PROPN,subst:pl:loc:n:pt,"{'Case': 'Loc', 'Gender': 'Neut', 'Number': 'Ptan'}","[['nmod', 18]]",
15,1,16,Zjednoczonych,15.0,4.0,amod:flat,Zjednoczone,ADJ,adj:pl:loc:n:pos,"{'Case': 'Loc', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Plur'}","[['amod:flat', 15]]",
16,1,17,bez,18.0,7.0,case,bez,ADP,prep:gen:nwok,"{'AdpType': 'Prep', 'Variant': 'Short'}","[['case', 18]]",{'Case': 'Gen'}
17,1,18,precedensu,22.0,32.0,parataxis:obj,precedens,NOUN,subst:sg:gen:m3,"{'Animacy': 'Inan', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Sing'}","[['parataxis:obj', 22]]",{'SpaceAfter': 'No'}
18,1,19,.,22.0,33.0,punct,.,PUNCT,interp,{'PunctType': 'Peri'},"[['punct', 22]]",{'SpaceAfter': 'No'}
19,1,20,”,22.0,33.0,punct,”,PUNCT,interp,"{'PunctSide': 'Fin', 'PunctType': 'Quot'}","[['punct', 22]]",
20,1,21,—,22.0,33.0,punct,—,PUNCT,interp,{'PunctType': 'Dash'},"[['punct', 22]]",
21,1,22,napisał,0.0,35.0,root,napisać,VERB,praet:sg:m1:perf,"{'Animacy': 'Hum', 'Aspect': 'Perf', 'Gender': 'Masc', 'Mood': 'Ind', 'Number': 'Sing', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['root', 0]]",
22,1,23,w,24.0,7.0,case,w,ADP,prep:acc:nwok,"{'AdpType': 'Prep', 'Variant': 'Short'}","[['case', 24]]",{'Case': 'Acc'}
23,1,24,poniedziałek,22.0,30.0,obl,poniedziałek,NOUN,subst:sg:acc:m3,"{'Animacy': 'Inan', 'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing'}","[['obl', 22]]",
24,1,25,na,26.0,7.0,case,na,ADP,prep:loc,{'AdpType': 'Prep'},"[['case', 26]]",{'Case': 'Loc'}
25,1,26,blogu,22.0,30.0,obl,blog,NOUN,subst:sg:loc:m3,"{'Animacy': 'Inan', 'Case': 'Loc', 'Gender': 'Masc', 'Number': 'Sing'}","[['obl', 22]]",
26,1,27,specjalny,28.0,4.0,amod,specjalny,ADJ,adj:sg:nom:m1:pos,"{'Animacy': 'Hum', 'Case': 'Nom', 'Degree': 'Pos', 'Gender': 'Masc', 'Number': 'Sing'}","[['amod', 28]]",
27,1,28,asystent,22.0,27.0,nsubj,asystent,NOUN,subst:sg:nom:m1,"{'Animacy': 'Hum', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing'}","[['nsubj', 22]]",
28,1,29,Obamy,28.0,26.0,nmod,Obama,PROPN,subst:sg:gen:m1,"{'Animacy': 'Hum', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Sing'}","[['nmod', 28]]",
29,1,30,Kori,28.0,5.0,appos,Kori,PROPN,subst:sg:nom:m1,"{'Animacy': 'Hum', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing'}","[['appos', 28]]",
30,1,31,Schulman,30.0,21.0,flat,Schulman,PROPN,subst:sg:nom:m1,"{'Animacy': 'Hum', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing'}","[['flat', 30]]",{'SpaceAfter': 'No'}
31,1,32,.,22.0,33.0,punct,.,PUNCT,interp,{'PunctType': 'Peri'},"[['punct', 22]]",
32,2,1,Dla,2.0,7.0,case,dla,ADP,prep:gen,{'AdpType': 'Prep'},"[['case', 2]]",{'Case': 'Gen'}
33,2,2,tych,17.0,30.0,obl,ten,DET,adj:pl:gen:m1:pos,"{'Animacy': 'Hum', 'Case': 'Gen', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Dem'}","[['obl', 17]]",{'SpaceAfter': 'No'}
34,2,3,",",5.0,33.0,punct,",",PUNCT,interp,{'PunctType': 'Comm'},"[['punct', 5]]",
35,2,4,którzy,5.0,27.0,nsubj,który,DET,adj:pl:nom:m1:pos,"{'Animacy': 'Hum', 'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Rel'}","[['nsubj', 5]]",
36,2,5,śledzą,2.0,1.0,acl:relcl,śledzić,VERB,fin:pl:ter:imperf,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['acl:relcl', 2]]",
37,2,6,zmiany,5.0,29.0,obj,zmiana,NOUN,subst:pl:acc:f,"{'Case': 'Acc', 'Gender': 'Fem', 'Number': 'Plur'}","[['obj', 5]]",
38,2,7,w,8.0,7.0,case,w,ADP,prep:loc:nwok,"{'AdpType': 'Prep', 'Variant': 'Short'}","[['case', 8]]",{'Case': 'Loc'}
39,2,8,mediach,6.0,26.0,nmod:arg,media,NOUN,subst:pl:loc:n:pt,"{'Case': 'Loc', 'Gender': 'Neut', 'Number': 'Ptan'}","[['nmod:arg', 6]]",
40,2,9,społecznościowych,8.0,4.0,amod,społecznościowy,ADJ,adj:pl:loc:n:pos,"{'Case': 'Loc', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Plur'}","[['amod', 8]]",
41,2,10,na,11.0,7.0,case,na,ADP,prep:loc,{'AdpType': 'Prep'},"[['case', 11]]",{'Case': 'Loc'}
42,2,11,Wzgórzu,5.0,30.0,obl,wzgórze,NOUN,subst:sg:loc:n:ncol,"{'Case': 'Loc', 'Gender': 'Neut', 'Number': 'Sing'}","[['obl', 5]]",
43,2,12,Kapitolińskim,11.0,4.0,amod:flat,kapitoliński,ADJ,adj:sg:loc:n:pos,"{'Case': 'Loc', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Sing'}","[['amod:flat', 11]]",{'SpaceAfter': 'No'}
44,2,13,",",5.0,33.0,punct,",",PUNCT,interp,{'PunctType': 'Comm'},"[['punct', 5]]",
45,2,14,będzie,17.0,6.0,aux,być,AUX,bedzie:sg:ter:imperf,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Fut', 'VerbForm': 'Fin'}","[['aux', 17]]",
46,2,15,to,17.0,13.0,cop,to,AUX,pred,"{'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Fin', 'VerbType': 'Quasi'}","[['cop', 17]]",
47,2,16,trochę,17.0,3.0,advmod,trochę,ADV,adv,,"[['advmod', 17]]",
48,2,17,inne,0.0,35.0,root,inny,ADJ,adj:sg:nom:n:pos,"{'Case': 'Nom', 'Degree': 'Pos', 'Gender': 'Neut', 'Number': 'Sing'}","[['root', 0]]",{'SpaceAfter': 'No'}
49,2,18,.,17.0,33.0,punct,.,PUNCT,interp,{'PunctType': 'Peri'},"[['punct', 17]]",
50,3,1,Ale,13.0,8.0,cc,ale,CCONJ,conj,,"[['cc', 13]]",
51,3,2,odchodząc,13.0,2.0,advcl,odchodzić,VERB,pcon:imperf,"{'Aspect': 'Imp', 'Tense': 'Pres', 'VerbForm': 'Conv', 'Voice': 'Act'}","[['advcl', 13]]",
52,3,3,od,6.0,7.0,case,od,ADP,prep:gen:nwok,"{'AdpType': 'Prep', 'Variant': 'Short'}","[['case', 6]]",{'Case': 'Gen'}
