,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,“,25.0,33.0,punct,“,PUNCT,,,,{'SpaceAfter': 'No'}
1,1,2,Embora,14.0,25.0,mark,_,SCONJ,IN,,,
2,1,3,uma,5.0,16.0,det,um,DET,DT,"{'Definite': 'Ind', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
3,1,4,grande,5.0,4.0,amod,grande,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
4,1,5,parte,14.0,27.0,nsubj,parte,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
6,1,6,de,8.0,7.0,case,de,ADP,INDT,,,
7,1,7,a,8.0,16.0,det,o,DET,,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
8,1,8,transição,5.0,26.0,nmod,transição,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
9,1,9,digital,8.0,4.0,amod,digital,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
11,1,10,em,12.0,7.0,case,em,ADP,INDT,,,
12,1,11,os,12.0,16.0,det,o,DET,,"{'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'}",,
13,1,12,Estados,5.0,26.0,nmod,Estados,PROPN,NN,"{'Gender': 'Masc', 'Number': 'Plur'}",,
14,1,13,Unidos,12.0,21.0,flat:name,Unidos,PROPN,JJ,"{'Gender': 'Masc', 'Number': 'Plur'}",,
15,1,14,seja,25.0,2.0,advcl,ser,VERB,VBC,"{'Mood': 'Sub', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,
16,1,15,sem,16.0,7.0,case,_,ADP,IN,,,
17,1,16,precedentes,14.0,30.0,obl,precedente,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Plur'}",,{'SpaceAfter': 'No'}
18,1,17,",",14.0,33.0,punct,",",PUNCT,",",,,
19,1,18,a,19.0,16.0,det,o,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
20,1,19,transição,25.0,27.0,nsubj,transição,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
21,1,20,pacífica,19.0,4.0,amod,pacífico,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
22,1,21,de,22.0,7.0,case,de,ADP,IN,,,
23,1,22,poder,19.0,26.0,nmod,poder,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Sing'}",,
24,1,23,não,25.0,3.0,advmod,não,ADV,RB,{'Polarity': 'Neg'},,
25,1,24,o,25.0,29.0,obj,_,PRON,PRP,"{'Case': 'Acc', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3'}",,
26,1,25,é,0.0,35.0,root,ser,VERB,VBC,"{'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres'}",,{'SpaceAfter': 'No'}
27,1,26,",",25.0,33.0,punct,",",PUNCT,",",,,{'SpaceAfter': 'No'}
28,1,27,”,25.0,33.0,punct,”,PUNCT,,,,
