,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,«,19,33,punct,«,PUNCT,``,,,{'SpaceAfter': 'No'}
1,1,2,Если,9,25,mark,если,SCONJ,IN,,,
2,1,3,передача,9,27,nsubj,передача,NOUN,NN,"{'Animacy': 'Inan', 'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing'}",,
3,1,4,цифровых,5,4,amod,цифровой,ADJ,JJ,"{'Case': 'Gen', 'Degree': 'Pos', 'Number': 'Plur'}",,
4,1,5,технологий,3,26,nmod,технология,NOUN,NN,"{'Animacy': 'Inan', 'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Plur'}",,
5,1,6,сегодня,9,3,advmod,сегодня,ADV,RB,{'Degree': 'Pos'},,
6,1,7,в,8,7,case,в,ADP,IN,,,
7,1,8,США,9,30,obl,США,PROPN,NNP,"{'Abbr': 'Yes', 'Animacy': 'Inan', 'Case': 'Loc', 'Gender': 'Masc', 'Number': 'Plur'}",,
8,1,9,происходит,19,2,advcl,происходить,VERB,VBC,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",,
9,1,10,впервые,9,3,advmod,впервые,ADV,RB,{'Degree': 'Pos'},,{'SpaceAfter': 'No'}
10,1,11,",",9,33,punct,",",PUNCT,",",,,
11,1,12,то,19,25,mark,то,SCONJ,IN,,,
12,1,13,о,15,7,case,о,ADP,IN,,,
13,1,14,мирной,15,4,amod,мирный,ADJ,JJ,"{'Case': 'Loc', 'Degree': 'Pos', 'Gender': 'Fem', 'Number': 'Sing'}",,
14,1,15,передаче,19,30,obl,передача,NOUN,NN,"{'Animacy': 'Inan', 'Case': 'Loc', 'Gender': 'Fem', 'Number': 'Sing'}",,
15,1,16,власти,15,26,nmod,власть,NOUN,NN,"{'Animacy': 'Inan', 'Case': 'Gen', 'Gender': 'Fem', 'Number': 'Sing'}",,
16,1,17,такого,19,27,nsubj,такое,PRON,DT,"{'Case': 'Gen', 'Gender': 'Neut', 'Number': 'Sing'}",,
17,1,18,не,19,3,advmod,не,PART,NEG,{'Polarity': 'Neg'},,
