,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,Aunque,3.0,25.0,mark,aunque,SCONJ,IN,,,
1,1,2,no,3.0,3.0,advmod,_,ADV,RB,{'Polarity': 'Neg'},,
2,1,3,haya,23.0,2.0,advcl,haber,VERB,VBC,"{'Aspect': 'Imp', 'Mood': 'Sub', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",,
3,1,4,precedentes,3.0,29.0,obj,_,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Plur'}",,
4,1,5,para,8.0,7.0,case,para,ADP,IN,,,
5,1,6,la,8.0,16.0,det,el,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
6,1,7,mayor,8.0,4.0,amod,_,ADJ,JJR,"{'Degree': 'Cmp', 'Gender': 'Fem', 'Number': 'Sing'}",,
7,1,8,parte,3.0,30.0,obl,parte,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
8,1,9,de,11.0,7.0,case,de,ADP,IN,,,
9,1,10,la,11.0,16.0,det,el,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
10,1,11,transición,8.0,26.0,nmod,transición,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
11,1,12,digital,11.0,4.0,amod,_,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
12,1,13,en,14.0,7.0,case,en,ADP,IN,,,
13,1,14,Estados,3.0,30.0,obl,_,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Plur'}",,{'Proper': 'True'}
14,1,15,Unidos,14.0,4.0,amod,_,ADJ,JJ,"{'Gender': 'Masc', 'Number': 'Plur'}",,"{'SpaceAfter': 'No', 'Proper': 'True'}"
15,1,16,",",3.0,33.0,punct,",",PUNCT,",",,,
16,1,17,la,18.0,16.0,det,el,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
17,1,18,transición,23.0,27.0,nsubj,transición,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
18,1,19,de,20.0,7.0,case,de,ADP,IN,,,
19,1,20,poder,18.0,26.0,nmod,poder,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Sing'}",,
20,1,21,pacífica,18.0,4.0,amod,_,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
21,1,22,es,23.0,13.0,cop,ser,AUX,VBC,"{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",,
22,1,23,habitual,0.0,35.0,root,_,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
23,1,24,",",25.0,33.0,punct,",",PUNCT,",",,,
24,1,25,escribió,23.0,32.0,parataxis,_,VERB,VBC,"{'Aspect': 'Perf', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act'}",,
25,1,26,el,27.0,16.0,det,el,DET,DT,"{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'}",,
26,1,27,lunes,25.0,30.0,obl:tmod,lunes,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Sing'}",,
27,1,28,en,30.0,7.0,case,en,ADP,IN,,,
28,1,29,una,30.0,16.0,det,uno,DET,DT,"{'Definite': 'Ind', 'Gender': 'Fem', 'Number': 'Sing', 'PronType': 'Art'}",,
29,1,30,entrada,25.0,30.0,obl,entrada,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
30,1,31,de,32.0,7.0,case,de,ADP,IN,,,
31,1,32,blog,30.0,26.0,nmod,blog,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Sing'}",,
32,1,33,Kori,25.0,27.0,nsubj,Kori,PROPN,NNP,"{'Gender': 'Fem', 'Number': 'Sing'}",,
33,1,34,Schulman,33.0,21.0,flat:name,Schulman,PROPN,NNP,"{'Gender': 'Fem', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
34,1,35,",",36.0,33.0,punct,",",PUNCT,",",,,
35,1,36,Asistente,33.0,5.0,appos,asistente,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Sing'}",,
36,1,37,Especial,36.0,4.0,amod,_,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Sing'}",,
38,1,38,de,40.0,7.0,case,de,ADP,INDT,,,
39,1,39,el,40.0,16.0,det,el,DET,,"{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Sing', 'PronType': 'Art'}",,
40,1,40,presidente,36.0,26.0,nmod,presidente,NOUN,NN,"{'Gender': 'Masc', 'Number': 'Sing'}",,
41,1,41,Obama,40.0,5.0,appos,Obama,PROPN,NNP,"{'Gender': 'Masc', 'Number': 'Sing'}",,{'SpaceAfter': 'No'}
42,1,42,.,23.0,33.0,punct,.,PUNCT,.,,,
43,2,1,Para,4.0,7.0,case,para,ADP,IN,,,
44,2,2,los,3.0,16.0,det,el,DET,DT,"{'Definite': 'Def', 'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Art'}",,
45,2,3,que,4.0,27.0,nsubj,_,PRON,REL,"{'Gender': 'Masc', 'Number': 'Plur', 'PronType': 'Int,Rel'}",,
46,2,4,sigan,17.0,37.0,xcomp,_,VERB,VBC,"{'Aspect': 'Imp', 'Mood': 'Sub', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}",,
47,2,5,las,6.0,16.0,det,el,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}",,
48,2,6,transiciones,4.0,29.0,obj,_,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Plur'}",,
49,2,7,de,9.0,7.0,case,de,ADP,IN,,,
50,2,8,las,9.0,16.0,det,el,DET,DT,"{'Definite': 'Def', 'Gender': 'Fem', 'Number': 'Plur', 'PronType': 'Art'}",,
51,2,9,redes,6.0,26.0,nmod,_,NOUN,NN,"{'Gender': 'Fem', 'Number': 'Plur'}",,
52,2,10,sociales,9.0,4.0,amod,_,ADJ,JJ,"{'Gender': 'Fem', 'Number': 'Plur'}",,
53,2,11,de,12.0,7.0,case,de,ADP,IN,,,
54,2,12,Capitol,9.0,26.0,nmod,Capitol,PROPN,NNP,{'Number': 'Sing'},,
55,2,13,Hill,12.0,21.0,flat:name,hill,NOUN,NN,{'Number': 'Sing'},,"{'SpaceAfter': 'No', 'Proper': 'True'}"
56,2,14,",",4.0,33.0,punct,",",PUNCT,",",,,
