,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,”,22.0,33.0,punct,”,PUNCT,PAD,,"[['punct', 22]]",{'SpaceAfter': 'No'}
1,1,2,Fast,11.0,25.0,mark,fast,SCONJ,SN,,"[['mark', 11]]",
2,1,3,mycket,11.0,27.0,nsubj,mycket,PRON,PN|NEU|SIN|IND|SUB/OBJ,"{'Definite': 'Ind', 'Gender': 'Neut', 'Number': 'Sing', 'PronType': 'Ind'}","[['nsubj', 11]]",
3,1,4,av,7.0,7.0,case,av,ADP,PP,,"[['case', 7]]",
4,1,5,den,7.0,16.0,det,den,DET,DT|UTR|SIN|DEF,"{'Definite': 'Def', 'Gender': 'Com', 'Number': 'Sing', 'PronType': 'Art'}","[['det', 7]]",
5,1,6,digitala,7.0,4.0,amod,digital,ADJ,JJ|POS|UTR/NEU|SIN|DEF|NOM,"{'Case': 'Nom', 'Definite': 'Def', 'Degree': 'Pos', 'Number': 'Sing'}","[['amod', 7]]",
6,1,7,övergången,3.0,26.0,nmod,övergång,NOUN,NN|UTR|SIN|DEF|NOM,"{'Case': 'Nom', 'Definite': 'Def', 'Gender': 'Com', 'Number': 'Sing'}","[['nmod:av', 3]]",
7,1,8,är,11.0,13.0,cop,vara,AUX,VB|PRS|AKT,"{'Mood': 'Ind', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act'}","[['cop', 11]]",
8,1,9,utan,11.0,7.0,case,utan,ADP,PP,,"[['case', 11]]",
9,1,10,tidigare,11.0,4.0,amod,tidigt,ADJ,JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM,"{'Case': 'Nom', 'Degree': 'Cmp'}","[['amod', 11]]",
10,1,11,motstycke,22.0,2.0,advcl,motstycke,NOUN,NN|NEU|SIN|IND|NOM,"{'Case': 'Nom', 'Definite': 'Ind', 'Gender': 'Neut', 'Number': 'Sing'}","[['advcl:utan', 22]]",
