,SID,WID,WORD,PARENT,RID,RELATION,lemma,upos,xpos,feats,deps,misc
0,1,1,“,27,33,punct,_,PUNCT,``,,,{'SpaceAfter': 'No'}
1,1,2,แม้,10,25,mark,_,ADP,IN,,,{'SpaceAfter': 'No'}
2,1,3,ว่า,2,20,fixed,_,ADP,IN,,,{'SpaceAfter': 'No'}
3,1,4,การเปลี่ยน,10,14,csubj,_,VERB,VV,,,{'SpaceAfter': 'No'}
4,1,5,ไป,4,11,compound:prt,_,PART,RP,,,{'SpaceAfter': 'No'}
5,1,6,ใช้,4,37,xcomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
6,1,7,ระบบ,6,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
7,1,8,ดิจิตัล,7,4,amod,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
8,1,9,เป็น,10,13,cop,_,AUX,VC,,,{'SpaceAfter': 'No'}
9,1,10,สิ่ง,27,2,advcl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
10,1,11,ที่,14,27,nsubj,_,DET,WDT,,,{'SpaceAfter': 'No'}
11,1,12,ไม่,13,3,advmod,_,PART,NEG,{'Polarity': 'Neg'},,{'SpaceAfter': 'No'}
12,1,13,เคย,14,6,aux,_,AUX,AS,{'Aspect': 'Perf'},,{'SpaceAfter': 'No'}
13,1,14,มี,10,1,acl:relcl,_,VERB,VV,,,{'SpaceAfter': 'No'}
14,1,15,มา,14,6,aux,_,AUX,AS,{'Aspect': 'Perf'},,{'SpaceAfter': 'No'}
15,1,16,ก่อน,14,3,advmod,_,ADV,RB,,,{'SpaceAfter': 'No'}
16,1,17,ใน,18,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
17,1,18,สหรัฐ,14,30,obl,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
18,1,19,ฯ,18,33,punct,_,PUNCT,...,,,{'Proper': 'True'}
19,1,20,การเปลี่ยนผ่าน,27,14,csubj,_,VERB,VV,,,{'SpaceAfter': 'No'}
20,1,21,อำนาจ,20,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
21,1,22,อย่างสันติ,20,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
22,1,23,นั้น,20,16,det,_,DET,DT,,,{'SpaceAfter': 'No'}
23,1,24,ก็,27,3,advmod,_,ADV,RB,,,{'SpaceAfter': 'No'}
24,1,25,ไม่,27,3,advmod,_,PART,NEG,{'Polarity': 'Neg'},,{'SpaceAfter': 'No'}
25,1,26,ใช่,27,13,cop,_,AUX,VC,,,{'SpaceAfter': 'No'}
26,1,27,เรื่อง,37,9,ccomp,_,NOUN,NN,,,{'SpaceAfter': 'No'}
27,1,28,ใหม่,27,4,amod,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
28,1,29,”,27,33,punct,_,PUNCT,'',,,
29,1,30,โคริ,37,27,nsubj,_,PROPN,NNP,,,
30,1,31,ชูลแมน,30,21,flat:name,_,PROPN,NNP,,,
31,1,32,ผู้,30,5,appos,_,NOUN,NN,,,{'SpaceAfter': 'No'}
32,1,33,ช่วย,32,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
33,1,34,พิเศษ,32,4,amod,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
34,1,35,ของ,36,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
35,1,36,โอบามา,32,26,nmod:poss,_,PROPN,NNP,,,
36,1,37,เขียน,0,35,root,_,VERB,VV,,,{'SpaceAfter': 'No'}
37,1,38,ลง,37,37,xcomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
38,1,39,บล็อก,38,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
39,1,40,เมื่อ,41,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
40,1,41,วัน,37,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
41,1,42,จันทร์,41,5,appos,_,NOUN,NN,,,
42,2,1,สำหรับ,2,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
43,2,2,ผู้,13,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
44,2,3,ที่,4,27,nsubj,_,DET,WDT,,,{'SpaceAfter': 'No'}
45,2,4,ติดตาม,2,1,acl:relcl,_,VERB,VV,,,{'SpaceAfter': 'No'}
46,2,5,การเปลี่ยนผ่าน,4,29,obj,_,VERB,VV,,,{'SpaceAfter': 'No'}
47,2,6,โซเชียล,7,4,amod,_,ADJ,JJ,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
48,2,7,มีเดีย,5,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
49,2,8,ใน,9,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
50,2,9,แคปิตอลฮิล,5,30,obl,_,PROPN,NNP,,,
51,2,10,เรื่อง,13,27,nsubj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
52,2,11,นี้,10,16,det,_,DET,DT,,,{'SpaceAfter': 'No'}
53,2,12,จะ,13,6,aux,_,AUX,MD,,,{'SpaceAfter': 'No'}
54,2,13,แตกต่าง,0,35,root,_,VERB,VV,,,{'SpaceAfter': 'No'}
55,2,14,ไป,13,11,compound:prt,_,PART,RP,,,{'SpaceAfter': 'No'}
56,2,15,เล็กน้อย,13,3,advmod,_,ADV,RB,,,
57,3,1,แต่,3,8,cc,_,CCONJ,CC,,,"{'SpaceAfter': 'No', 'ToDo': 'ex-adp-child'}"
58,3,2,จาก,3,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
59,3,3,วาทกรรม,16,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
60,3,4,ก่อน,3,4,amod,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
61,3,5,เมื่อ,7,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
62,3,6,ไม่,7,3,advmod,_,PART,NEG,{'Polarity': 'Neg'},,{'SpaceAfter': 'No'}
63,3,7,นาน,3,37,xcomp,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
64,3,8,เกี่ยว,10,7,case,_,VERB,VV,,,{'SpaceAfter': 'No'}
65,3,9,กับ,8,20,fixed,_,ADP,IN,,,{'SpaceAfter': 'No'}
66,3,10,การลด,3,37,xcomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
67,3,11,การอพยพ,10,29,obj,_,VERB,VV,,,{'SpaceAfter': 'No'}
68,3,12,เข้า,11,11,compound:prt,_,PART,RP,,,
69,3,13,ตัว,16,27,nsubj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
70,3,14,แทน,13,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
71,3,15,จีโอพี,13,11,compound,_,PROPN,NNP,,,{'SpaceAfter': 'No'}
72,3,16,ให้,0,35,root,_,VERB,VV,,,{'SpaceAfter': 'No'}
73,3,17,คำ,16,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
74,3,18,ปราศรัย,17,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
75,3,19,ว่า,25,25,mark,_,ADP,IN,,,
76,3,20,ใน,21,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
77,3,21,ฐานะ,25,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
78,3,22,ประธานาธิบดี,21,11,compound,_,NOUN,NN,,,
79,3,23,เขา,25,27,nsubj,_,PRON,PRP,{'Person': '3'},,{'SpaceAfter': 'No'}
80,3,24,จะ,25,6,aux,_,AUX,MD,,,{'SpaceAfter': 'No'}
81,3,25,อนุญาต,16,9,ccomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
82,3,26,ให้,25,37,xcomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
83,3,27,ผู้,36,27,nsubj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
84,3,28,เข้า,27,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
85,3,29,เมือง,28,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
86,3,30,โดยถูก,28,2,advcl,_,VERB,VV,,,{'SpaceAfter': 'No'}
87,3,31,กฎหมาย,30,30,obl,_,NOUN,NN,,,
88,3,32,“,33,33,punct,_,PUNCT,``,,,{'SpaceAfter': 'No'}
89,3,33,จำนวน,27,11,compound,_,NOUN,NN,,,{'SpaceAfter': 'No'}
90,3,34,มาก,33,4,amod,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
91,3,35,”,33,33,punct,_,PUNCT,'',,,
92,3,36,เข้า,26,37,xcomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
93,3,37,สู่,38,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
94,3,38,ประเทศ,36,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
95,3,39,ได้,36,6,aux,_,AUX,MD,,,{'SpaceAfter': 'No'}
96,3,40,ตาม,42,7,case,_,ADP,IN,,,
97,3,41,“,42,33,punct,_,PUNCT,``,,,{'SpaceAfter': 'No'}
98,3,42,ระบบ,36,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
99,3,43,คุณธรรม,42,11,compound,_,NOUN,NN,,,{'SpaceAfter': 'No'}
100,3,44,”,42,33,punct,_,PUNCT,'',,,
101,4,1,“,2,33,punct,_,PUNCT,``,,,{'SpaceAfter': 'No'}
102,4,2,คือ,22,9,ccomp,_,VERB,VC,,,{'SpaceAfter': 'No'}
103,4,3,ผม,6,27,nsubj,_,PRON,PRP,{'Person': '1'},,{'SpaceAfter': 'No'}
104,4,4,ไม่,5,3,advmod,_,PART,NEG,{'Polarity': 'Neg'},,{'SpaceAfter': 'No'}
105,4,5,ได้,6,6,aux,_,AUX,AS,{'Aspect': 'Perf'},,{'SpaceAfter': 'No'}
106,4,6,ชอบ,2,9,ccomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
107,4,7,กดดัน,6,37,xcomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
108,4,8,พวก,7,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
109,4,9,คุณ,8,11,compound,_,PRON,PRP,{'Person': '2'},,{'SpaceAfter': 'No'}
110,4,10,หรอก,6,17,discourse,_,PART,EP,,,{'SpaceAfter': 'No'}
111,4,11,นะ,6,17,discourse,_,PART,EP,,,
112,4,12,แต่,16,8,cc,_,CCONJ,CC,,,{'SpaceAfter': 'No'}
113,4,13,ชะตากรรม,16,27,nsubj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
114,4,14,ของ,15,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
115,4,15,สาธารณรัฐ,13,26,nmod:poss,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
116,4,16,อยู่,6,12,conj,_,VERB,VV,,,{'SpaceAfter': 'No'}
117,4,17,ใน,18,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
118,4,18,กำมือ,16,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
119,4,19,คุณ,18,11,compound,_,PRON,PRP,{'Person': '2'},,{'SpaceAfter': 'No'}
120,4,20,”,2,33,punct,_,PUNCT,'',,,
121,4,21,เขา,22,27,nsubj,_,PRON,PRP,{'Person': '3'},,{'SpaceAfter': 'No'}
122,4,22,กล่าว,0,35,root,_,VERB,VV,,,{'SpaceAfter': 'No'}
123,4,23,กับ,24,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
124,4,24,กลุ่ม,22,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
125,4,25,ผู้,24,11,compound,_,NOUN,NN,,,{'SpaceAfter': 'No'}
126,4,26,ฟัง,25,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
127,4,27,ที่,28,27,nsubj,_,DET,WDT,,,{'SpaceAfter': 'No'}
128,4,28,รวม,24,1,acl:relcl,_,VERB,VV,,,{'SpaceAfter': 'No'}
129,4,29,ตัว,28,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
130,4,30,อยู่,28,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
131,4,31,ที่,32,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
132,4,32,สนาม,30,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
133,4,33,กีฬา,32,11,compound,_,NOUN,NN,,,{'SpaceAfter': 'No'}
134,4,34,มหาวิทยาลัย,32,11,compound,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
135,4,35,นอร์ทแคโรไลนา,32,11,compound,_,PROPN,NNP,,,
136,5,1,การใช้จ่าย,6,27,nsubj,_,VERB,VV,,,{'SpaceAfter': 'No'}
137,5,2,ครั้ง,1,10,clf,_,NOUN,NNB,,,{'SpaceAfter': 'No'}
138,5,3,ใหม่,2,4,amod,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
139,5,4,นี้,2,16,det,_,DET,DT,,,{'SpaceAfter': 'No'}
140,5,5,ได้,6,6,aux,_,AUX,AS,{'Aspect': 'Perf'},,{'SpaceAfter': 'No'}
141,5,6,รับ,0,35,root,_,VERB,VV,,,{'SpaceAfter': 'No'}
142,5,7,การสนับสนุน,6,29,obj,_,VERB,VV,,,{'SpaceAfter': 'No'}
143,5,8,โดย,9,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
144,5,9,บัญชี,7,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
145,5,10,ธนาคาร,9,11,compound,_,NOUN,NN,,,{'SpaceAfter': 'No'}
146,5,11,อัน,12,27,nsubj,_,DET,WDT,,,{'SpaceAfter': 'No'}
147,5,12,ร่ำรวย,9,1,acl:relcl,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
148,5,13,ของ,14,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
149,5,14,คลินตัน,9,26,nmod:poss,_,PROPN,NNP,,,
150,6,1,สิ่ง,18,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
151,6,2,ที่,5,29,obj,_,DET,WDT,,,{'SpaceAfter': 'No'}
152,6,3,เธอ,5,27,nsubj,_,PRON,PRP,{'Person': '3'},,{'SpaceAfter': 'No'}
153,6,4,กำลัง,5,6,aux,_,AUX,AS,{'Aspect': 'Prog'},,{'SpaceAfter': 'No'}
154,6,5,พูด,1,1,acl:relcl,_,VERB,VV,,,{'SpaceAfter': 'No'}
155,6,6,และ,7,8,cc,_,CCONJ,CC,,,{'SpaceAfter': 'No'}
156,6,7,สิ่ง,1,12,conj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
157,6,8,ที่,11,29,obj,_,DET,WDT,,,{'SpaceAfter': 'No'}
158,6,9,เธอ,11,27,nsubj,_,PRON,PRP,{'Person': '3'},,{'SpaceAfter': 'No'}
159,6,10,กำลัง,11,6,aux,_,AUX,AS,{'Aspect': 'Prog'},,{'SpaceAfter': 'No'}
160,6,11,ทำ,7,1,acl:relcl,_,VERB,VV,,,
161,6,12,มัน,16,34,reparandum,_,PRON,PRP,{'Person': '3'},,
162,6,13,—,12,33,punct,_,PUNCT,-,,,
163,6,14,ที่,18,30,obl,_,PRON,PRP,,,{'SpaceAfter': 'No'}
164,6,15,จริง,14,4,amod,_,ADJ,JJ,,,
165,6,16,มัน,18,30,obl,_,PRON,PRP,{'Person': '3'},,{'SpaceAfter': 'No'}
166,6,17,ไม่,18,3,advmod,_,PART,NEG,{'Polarity': 'Neg'},,{'SpaceAfter': 'No'}
167,6,18,น่าเชื่อ,0,35,root,_,VERB,VV,,,{'SpaceAfter': 'No'}
168,6,19,เลย,18,3,advmod,_,ADV,RB,,,
169,7,1,"5,000",2,28,nummod,_,NUM,CD,,,
170,7,2,ดอลลาร์,0,35,root,_,NOUN,NNB,,,{'SpaceAfter': 'No'}
171,7,3,ต่อ,4,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
172,7,4,คน,2,26,nmod,_,NOUN,NN,,,
173,7,5,สูง,2,12,conj,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
174,7,6,สุด,5,3,advmod,_,ADV,RB,,,{'SpaceAfter': 'No'}
175,7,7,ตาม,10,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
176,7,8,ที่,10,27,nsubj,_,DET,WDT,,,{'SpaceAfter': 'No'}
177,7,9,ได้รับ,10,6,aux,_,AUX,MD,{'Voice': 'Pass'},,{'SpaceAfter': 'No'}
178,7,10,อนุญาต,5,37,xcomp,_,VERB,VV,,,
179,8,1,เมื่อ,2,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
180,8,2,ช่วง,8,30,obl,_,NOUN,NN,,,{'SpaceAfter': 'No'}
181,8,3,ต้น,2,11,compound,_,NOUN,NN,,,{'SpaceAfter': 'No'}
182,8,4,ตุลาคม,2,11,compound,_,NOUN,NN,,,
183,8,5,ทีม,8,27,nsubj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
184,8,6,เปลี่ยนผ่าน,5,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
185,8,7,อำนาจ,6,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
186,8,8,ใช้,0,35,root,_,VERB,VV,,,{'SpaceAfter': 'No'}
187,8,9,สถานที่,8,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
188,8,10,เดียว,9,4,amod,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
189,8,11,กัน,10,30,obl,_,PRON,PRP,,,{'SpaceAfter': 'No'}
190,8,12,นั้น,9,16,det,_,DET,DT,,,{'SpaceAfter': 'No'}
191,8,13,เพื่อ,14,25,mark,_,ADP,IN,,,{'SpaceAfter': 'No'}
192,8,14,พบปะ,8,2,advcl,_,VERB,VV,,,{'SpaceAfter': 'No'}
193,8,15,กลุ่ม,14,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
194,8,16,รณรงค์,15,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
195,8,17,ด้าน,16,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
196,8,18,เทคโนโลยี,17,11,compound,_,NOUN,NN,,,
197,8,19,โดย,20,25,mark,_,ADP,IN,,,{'SpaceAfter': 'No'}
198,8,20,เชิญ,14,2,advcl,_,VERB,VV,,,{'SpaceAfter': 'No'}
199,8,21,ตัว,20,29,obj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
200,8,22,แทน,21,1,acl,_,VERB,VV,,,{'SpaceAfter': 'No'}
201,8,23,ของ,24,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
202,8,24,อูเบอร์,21,26,nmod:poss,_,PROPN,NNP,,,
203,8,25,สมาคม,21,12,conj,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
204,8,26,ภาพยนตร์,25,21,flat:name,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
205,8,27,แห่ง,28,7,case,_,ADP,IN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
206,8,28,อเมริกา,25,26,nmod:poss,_,PROPN,NNP,,,
207,8,29,สมาคม,21,12,conj,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
208,8,30,เทคโนโลยี,29,21,flat:name,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
209,8,31,ผู้,29,21,flat:name,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
210,8,32,บริโภค,31,1,acl,_,VERB,VV,,,{'Proper': 'True'}
211,8,33,และ,34,8,cc,_,CCONJ,CC,,,{'SpaceAfter': 'No'}
212,8,34,กลุ่ม,21,12,conj,_,NOUN,NN,,,{'SpaceAfter': 'No'}
213,8,35,อื่น,34,4,amod,_,ADJ,JJ,,,{'SpaceAfter': 'No'}
214,8,36,ๆ,35,15,dep,_,SYM,SYM,,,
215,9,1,การชุมนุม,4,27,nsubj,_,VERB,VV,,,{'SpaceAfter': 'No'}
216,9,2,นี้,1,16,det,_,DET,DT,,,{'SpaceAfter': 'No'}
217,9,3,เดิม,4,3,advmod,_,ADV,RB,,,{'SpaceAfter': 'No'}
218,9,4,กำหนด,0,35,root,_,VERB,VV,,,{'SpaceAfter': 'No'}
219,9,5,ว่า,7,25,mark,_,ADP,IN,,,{'SpaceAfter': 'No'}
220,9,6,จะ,7,6,aux,_,AUX,MD,,,{'SpaceAfter': 'No'}
221,9,7,จัด,4,9,ccomp,_,VERB,VV,,,{'SpaceAfter': 'No'}
222,9,8,ที่,9,7,case,_,ADP,IN,,,{'SpaceAfter': 'No'}
223,9,9,สโมสร,7,30,obl,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
224,9,10,มหานคร,9,21,flat:name,_,NOUN,NN,,,"{'Proper': 'True', 'SpaceAfter': 'No'}"
225,9,11,ส่วน,10,11,compound,_,NOUN,NN,,,{'SpaceAfter': 'No'}
226,9,12,ตัว,11,11,compound,_,NOUN,NN,,,{'SpaceAfter': 'No'}
